Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Mbps (Media de bajada),Total
2023,1,Chaco,11.53,43.15,236.0,544.0,15113.0,15190.0,7729.0,3020.0,96663.0,3947.0,142437,5.0,21243.0,60727.0,49756.0,8142.0,2574.0,104.33,142442.0
2023,1,Chubut,26.32,85.89,109.0,1598.0,45794.0,30947.0,25072.0,17700.0,28259.0,20574.0,169149,904.0,45448.0,73525.0,9815.0,30521.0,10744.0,18.36,170053.0
2023,1,Córdoba,27.2,88.84,99.0,8844.0,131774.0,103063.0,57176.0,24960.0,690566.0,33490.0,1049904,68.0,136976.0,455139.0,386297.0,61066.0,10494.0,109.57,1049972.0
2023,1,Corrientes,13.71,52.05,67.0,3074.0,22517.0,23420.0,6349.0,4601.0,88008.0,8984.0,157016,4.0,29577.0,81116.0,30016.0,11071.0,5240.0,94.8,157020.0
2023,1,Entre Ríos,19.37,64.79,107.0,4525.0,41215.0,51664.0,20667.0,22680.0,134020.0,0.0,274856,22.0,51084.0,141699.0,44508.0,26415.0,11172.0,86.71,274878.0
2023,1,Formosa,9.87,38.79,84.0,192.0,22016.0,11922.0,6229.0,273.0,19567.0,702.0,60985,0.0,12502.0,17421.0,13345.0,17490.0,227.0,73.96,60985.0
2023,1,Jujuy,14.88,58.2,58.0,1598.0,16842.0,12856.0,29386.0,306.0,54859.0,2076.0,117981,0.0,15306.0,51082.0,46271.0,4067.0,1255.0,42.75,117981.0
2023,1,La Pampa,31.81,96.55,68.0,1399.0,50313.0,11510.0,10525.0,4423.0,21308.0,16958.0,116333,171.0,7049.0,59944.0,28126.0,20103.0,1282.0,20.09,116504.0
2023,1,La Rioja,21.23,79.74,18.0,502.0,1892.0,2470.0,24551.0,4949.0,52023.0,0.0,86401,4.0,4652.0,54604.0,20722.0,6395.0,32.0,63.13,86405.0
2023,1,Mendoza,14.34,51.4,103.0,2945.0,32767.0,20813.0,30657.0,15046.0,169502.0,21186.0,292242,777.0,37646.0,73678.0,152534.0,27592.0,1569.0,41.45,293019.0
2023,1,Misiones,14.7,53.97,51.0,3448.0,34762.0,21817.0,11881.0,3881.0,106601.0,8244.0,190685,0.0,30455.0,82834.0,56619.0,12896.0,7881.0,89.81,190685.0
2023,1,Neuquén,23.38,78.55,168.0,986.0,38414.0,13933.0,13192.0,6195.0,85257.0,2267.0,159944,468.0,28030.0,72639.0,32296.0,23937.0,3510.0,93.42,160412.0
2023,1,Río Negro,21.27,69.16,111.0,1076.0,29515.0,15171.0,18697.0,12079.0,57910.0,29772.0,163783,548.0,33604.0,49128.0,45329.0,16857.0,19413.0,74.4,164331.0
2023,1,Salta,13.97,57.67,114.0,1096.0,30564.0,69436.0,4822.0,104.0,92512.0,6778.0,205421,5.0,33427.0,96922.0,56259.0,12269.0,6549.0,76.85,205426.0
2023,1,San Juan,12.67,49.75,24.0,2020.0,30051.0,11221.0,14799.0,10268.0,21544.0,11840.0,101486,281.0,38568.0,21215.0,12798.0,21912.0,7274.0,18.7,101767.0
2023,1,San Luis,25.8,90.17,60.0,624.0,11680.0,24133.0,13659.0,75904.0,6050.0,3353.0,135281,182.0,6283.0,42789.0,6952.0,78954.0,485.0,55.85,135463.0
2023,1,Santa Cruz,12.92,43.42,51.0,6810.0,11528.0,11380.0,9861.0,3697.0,5990.0,1044.0,50163,198.0,9702.0,23839.0,12217.0,3660.0,943.0,14.98,50361.0
2023,1,Santa Fe,24.57,78.13,468.0,7655.0,98198.0,180708.0,75061.0,26306.0,479777.0,18101.0,886164,110.0,138935.0,405618.0,283988.0,43487.0,14246.0,92.22,886274.0
2023,1,Santiago Del Estero,11.8,47.55,178.0,1186.0,21551.0,57189.0,21277.0,734.0,15447.0,993.0,118553,2.0,11642.0,80407.0,16656.0,6916.0,2934.0,36.27,118555.0
2023,1,Tierra Del Fuego,30.9,104.23,22.0,831.0,10944.0,13048.0,21348.0,3959.0,2386.0,4575.0,56801,312.0,12754.0,43146.0,405.0,157.0,651.0,14.58,57113.0
2023,1,Tucumán,14.95,60.34,39.0,1237.0,23379.0,29629.0,25565.0,1723.0,164402.0,15126.0,261070,30.0,55822.0,19482.0,180976.0,4293.0,527.0,95.79,261100.0
